icare_telescope,icare_instrument,mlim_mag,mlim_filter,mlim_exposure,mlim_source,usage_class,followup_eligible,restriction_note,provenance_note
AbAO-T150,AbAO-T150,22.8,,<=1 h,GRANDMA_HDR_2026,F,true,,HDR Table 1.1: AbAO/T150
AbAO-T70,AbAO-T70,21.5,,<=1 h,GRANDMA_HDR_2026,F,true,,HDR Table 1.1: AbAO/T70
ASTEP,ASTEP,20.0,red/blue simultaneous,,GRB_GUIDELINE_2025,R,true,Best suited to very southern targets; proposal/contact based.,GRB guideline: ASTEP
Asteroid Terrestrial-impact Last Alert System,ATLAS,,,,,,true,No Mag Limit was provided in the expert review; keep detectability UNKNOWN.,Expert review completed with no numeric Mlim.
C2PU/Omicron,C2PU-O,22.5,"g,r,i,z",,GRB_GUIDELINE_2025,R,true,Late-time/publication-oriented use; instrument configuration can vary.,GRB guideline: C2PU
CAHA-3.5m,CAHA-3.5m,23.0,,,EXPERT_FEEDBACK_2026,,true,,Sarah expert feedback: 23
CAHA-CAFOS,CAFOS,,,,,,true,No photometric Mlim consolidated. The HDR value 20 is in the spectroscopy section and is intentionally not used as imaging sensitivity.,Curated decision from HDR Table 1.1 scope.
Canada-France-Hawaii Telescope,CFHT/MEGACAM,25.5,"g,r,i,z",<=1 h,GRANDMA_HDR_2026,R,true,,HDR Table 1.1: CFHT/MegaCam
Canada-France-Hawaii Telescope,CFHT/WIRCAM,24.0,"J,H,Ks",<=1 h,GRANDMA_HDR_2026,R,true,,HDR Table 1.1: CFHT/WIRCam
Colibri,COLIBRI-VIS,22.5,,,EXPERT_FEEDBACK_2026,,true,,Sarah expert feedback: 22.5
Euler,Euler,23.4,"g,r,i,R (?)",,GRB_GUIDELINE_2025,R,true,Late-time use for strong/clear cases; filter notation uncertain in source.,GRB guideline: Euler
FRAM-Auger,FRAM-Auger,17.0,,<=1 h,GRANDMA_HDR_2026,VF,true,,HDR Table 1.1: FRAM-Auger
